episode,total_reward
245, 121.10588235294135
246, 101.23157894736859
247, 64.16881720430113
248, 47.92777777777768
249, 112.73698630137018
250, 41.79127516778516
251, 5.081229773462823
252, 14.079856115107926
253, 58.83006993006985
254, 69.35977011494263
255, 53.85947712418293
256, 50.882389937106915
257, 49.522923588039745
258, 51.1999999999999
259, 8.572131147541024
260, 62.32657342657334
261, 52.92018348623846
262, 49.21746031746026
263, 50.8524590163934
264, 4.87444089456873
265, 8.205019305019343
266, 5.239869281045792
267, 49.736501901140606
268, 52.8666666666666
269, 53.83506493506483
270, 19.788030888030857
271, 9.858083832335366
272, 44.455555555555485
273, 86.46731517509743
274, 9.805923344947773
275, 70.63333333333338
276, 60.32857142857135
277, 6.261111111111152
278, -0.029889298892965516
279, 57.84444444444437
280, 62.74366197183093
